titles,artists
Twelfth Street Rag,Pee Wee Hunt
Mañana (Is Soon Enough for Me),Peggy Lee
Now Is the Hour,Bing Crosby
A Tree in the Meadow,Margaret Whiting
"You Can't Be True, Dear",Ken Griffin
"You Can't Be True, Dear",Ken Griffin
Little White Lies,Dick Haymes
You Call Everybody Darlin',Al Trace
My Happiness,The Pied Pipers
I'm Looking Over a Four Leaf Clover,Art Mooney
It's Magic,Doris Day
Maybe You'll Be There,Gordon Jenkins
Ballerina,Vaughn Monroe
Nature Boy,King Cole
Woody Woodpecker,Kay Kyser
Love Somebody,Doris Day
Now Is the Hour,Gracie Fields
Beg Your Pardon,Francis Craig
Toolie Oolie Doolie,The Andrews Sisters
Buttons and Bows,Dinah Shore
Golden Earrings,Peggy Lee
Baby Face,Art Mooney
Too Fat Polka,Arthur Godfrey
Because,Perry Como
My Happiness,Ella Fitzgerald
Serenade of the Bells,Sammy Kaye
Until,Tommy Dorsey
William Tell Overture,Spike Jones
Beg Your Pardon,Frankie Carle
St. Louis Blues March,Tex Beneke
Underneath the Arches,Primo Scala
On a Slow Boat to China,Kay Kyser
Woody Woodpecker,Mel Blanc
The Dicky-Bird Song,Freddy Martin
I'm Looking Over a Four Leaf Clover,Russ Morgan
How Soon,Vaughn Monroe
Serenade of the Bells,Jo Stafford
Too Young,Nat King Cole
Because of You,Tony Bennett
How High the Moon,Les Paul
Come on-a My House,Rosemary Clooney
Be My Love,Mario Lanza
On Top of Old Smoky,The Weavers
"Cold, Cold Heart",Tony Bennett
Ataypura!,Yma Sumac
The Loveliest Night of the Year,Mario Lanza
Tennessee Waltz,Patti Page
Jezebel,Frankie Laine
I Get Ideas,Tony Martin
Mockin' Bird Hill,Les Paul
Mockin' Bird Hill,Patti Page
My Heart Cries for You,Guy Mitchell
(It's No) Sin,Eddy Howard
Sound Off,Vaughn Monroe
Sweet Violets,Dinah Shore
The World Is Waiting for the Sunrise,Les Paul
"My Truly, Truly Fair",Guy Mitchell
(It's No) Sin,The Four Aces
Aba Daba Honeymoon,Debbie Reynolds
"Rose, Rose, I Love You",Frankie Laine
Down Yonder,Del Wood
I Apologize,Billy Eckstine
"Would I Love You (Love You, Love You)",Patti Page
You're Just in Love,Perry Como
Undecided,Ames Brothers
The Thing,Phil Harris
Because of You,Les Baxter
Little Things Mean a Lot,Kitty Kallen
Wanted,Perry Como
Hey There,Rosemary Clooney
Sh-Boom,The Crew-Cuts
Make Love to Me,Jo Stafford
Oh! My Pa-Pa,Eddie Fisher
(Oh Baby Mine) I Get So Lonely,The Four Knights
Three Coins in the Fountain,The Four Aces
Secret Love,Doris Day
Hernando's Hideaway,Archie Bleyer
Young at Heart,Frank Sinatra
This Ole House,Rosemary Clooney
I Need You Now,Eddie Fisher
Cross Over the Bridge,Patti Page
The Little Shoemaker,The Gaylords
That's Amore,Dean Martin
The Happy Wanderer,Frank Weir
"Answer Me, My Love",Nat King Cole
Stranger in Paradise,Tony Bennett
If I Give My Heart to You,Doris Day
If You Love Me (Really Love Me),Kay Starr
Skokiaan,Ralph Marterie
Hold My Hand,Don Cornell
Changing Partners,Patti Page
Papa Loves Mambo,Perry Como
"Shake, Rattle and Roll",Bill Haley & His Comets
Rags to Riches,Tony Bennett
In the Chapel in the Moonlight,Kitty Kallen
Stranger in Paradise,The Four Aces
Here,Tony Martin
All Shook Up,Elvis Presley
Love Letters in the Sand,Pat Boone
Little Darlin',The Diamonds
Young Love,Tab Hunter
So Rare,Jimmy Dorsey
Don't Forbid Me,Pat Boone
Singing the Blues,Guy Mitchell
Young Love,Sonny James
Too Much,Elvis Presley
Round and Round,Perry Como
Bye Bye Love,The Everly Brothers
Tammy,Debbie Reynolds
Party Doll,Buddy Knox
Teddy Bear,Elvis Presley
Day-O (The Banana Boat Song),Harry Belafonte
Jailhouse Rock,Elvis Presley
A White Sport Coat (and a Pink Carnation),Marty Robbins
Come Go with Me,The Del-Vikings
Wake Up Little Susie,The Everly Brothers
You Send Me,Sam Cooke
Searchin',The Coasters
School Days,Chuck Berry
Gone,Ferlin Husky
Diana,Paul Anka
A Teenager's Romance,Ricky Nelson
The Banana Boat Song,The Tarriers
Honeycomb,Jimmie Rodgers
Whole Lotta Shakin' Goin On,Jerry Lee Lewis
Dark Moon,Gale Storm
That'll Be the Day,The Crickets
Butterfly,Charlie Gracie
Moonlight Gambler,Frankie Laine
Teen-Age Crush,Tommy Sands
It's Not for Me to Say,Johnny Mathis
Silhouettes,The Rays
Butterfly,Andy Williams
Marianne,The Easy Riders
I'm Walkin',Fats Domino
Chances Are,Johnny Mathis
Send for Me,Nat King Cole
Rainbow,Russ Hamilton
Be-Bop Baby,Ricky Nelson
Short Fat Fannie,Larry Williams
Green Door,Jim Lowe
I'm Gonna Sit Right Down and Write Myself a Letter,Billy Williams
Old Cape Cod,Patti Page
Mr. Lee,The Bobbettes
Blueberry Hill,Fats Domino
Whispering Bells,The Del-Vikings
Blue Monday,Fats Domino
Theme from A Summer Place,Percy Faith
He'll Have to Go,Jim Reeves
Cathy's Clown,The Everly Brothers
Running Bear,Johnny Preston
Teen Angel,Mark Dinning
I'm Sorry,Brenda Lee
It's Now or Never,Elvis Presley
Handy Man,Jimmy Jones
Stuck on You,Elvis Presley
The Twist,Chubby Checker
Everybody's Somebody's Fool,Connie Francis
Wild One,Bobby Rydell
Greenfields,The Brothers Four
What in the World's Come Over You,Jack Scott
El Paso,Marty Robbins
Alley Oop,The Hollywood Argyles
My Heart Has a Mind of Its Own,Connie Francis
Sweet Nothin's,Brenda Lee
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland
Only the Lonely,Roy Orbison
Where or When,Dion and the Belmonts
Sixteen Reasons,Connie Stevens
Puppy Love,Paul Anka
Why,Frankie Avalon
"Walk, Don't Run",The Ventures
Save the Last Dance for Me,The Drifters
Baby (You've Got What It Takes),Dinah Washington
Sink the Bismarck,Johnny Horton
Chain Gang,Sam Cooke
Let It Be Me,The Everly Brothers
Good Timin',Jimmy Jones
Beyond the Sea,Bobby Darin
"Go, Jimmy, Go",Jimmy Clanton
Night,Jackie Wilson
Burning Bridges,Jack Scott
The Big Hurt,Toni Fisher
Because They're Young,Duane Eddy
Lonely Blue Boy,Conway Twitty
Pretty Blue Eyes,Steve Lawrence
Way Down Yonder in New Orleans,Freddy Cannon
Paper Roses,Anita Bryant
Mr. Custer,Larry Verne
I Want to Be Wanted,Brenda Lee
Mule Skinner Blues,The Fendermen
Cradle of Love,Johnny Preston
You Got What It Takes,Marv Johnson
"Please Help Me, I'm Falling",Hank Locklin
Love You So,Ron Holden
Finger Poppin' Time,Hank Ballard
Harbor Lights,The Platters
Let the Little Girl Dance,Billy Bland
He'll Have to Stay,Jeanne Black
Theme from The Apartment,Ferrante & Teicher
Volare,Bobby Rydell
A Million to One,Jimmy Charles
The Village of St. Bernadette,Andy Williams
White Silver Sands,Bill Black's Combo
The Old Lamp-Lighter,The Browns
Devil or Angel,Bobby Vee
Down by the Station,The Four Preps
Image of a Girl,The Safaris
Kiddio,Brook Benton
Mission Bell,Donnie Brooks
I Love the Way You Love,Marv Johnson
It's Time to Cry,Paul Anka
Tell Laura I Love Her,Ray Peterson
Mama,Connie Francis
Footsteps,Steve Lawrence
So Sad,The Everly Brothers
That's All You Gotta Do,Brenda Lee
Walking to New Orleans,Fats Domino
Among My Souvenirs,Connie Francis
Swingin' School,Bobby Rydell
A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington
Stairway to Heaven,Neil Sedaka
My Home Town,Paul Anka
Georgia on My Mind,Ray Charles
Cherry Pie,Skip and Flip
Wonderful World,Sam Cooke
Tracy's Theme,Spencer Ross
Lady Luck,Lloyd Price
Step by Step,The Crests
Happy-Go-Lucky Me,Paul Evans
Young Emotions,Ricky Nelson
Dreamin',Johnny Burnette
Poetry in Motion,Johnny Tillotson
O Dio Mio,Annette Funicello
You Talk Too Much,Joe Jones
Beatnik Fly,Johnny and the Hurricanes
When Will I Be Loved,The Everly Brothers
Let's Think About Living,Bob Luman
Heartaches by the Number,Guy Mitchell
My Little Corner of the World,Anita Bryant
Doggin' Around,Jackie Wilson
Little Bitty Girl,Bobby Rydell
Money (That's What I Want),Barrett Strong
Stay,Maurice Williams and the Zodiacs
Lonely Weekends,Charlie Rich
Sandy,Larry Hall
Surfin' U.S.A.,The Beach Boys
The End of the World,Skeeter Davis
Rhythm of the Rain,The Cascades
He's So Fine,The Chiffons
Blue Velvet,Bobby Vinton
Hey Paula,Paul & Paula
Fingertips,Little Stevie Wonder
Can't Get Used to Losing You,Andy Williams
My Boyfriend's Back,The Angels
Sukiyaki,Kyu Sakamoto
So Much in Love,The Tymes
"Puff, the Magic Dragon","Peter, Paul & Mary"
Blowin' in the Wind,"Peter, Paul & Mary"
Wipe Out,The Surfaris
Wipe Out,The Surfaris
I Love You Because,Al Martino
Wild Weekend,The Rebels
You're the Reason I'm Living,Bobby Darin
Walk Like a Man,The Four Seasons
Mockingbird,Inez & Charlie Foxx
I Will Follow Him,Little Peggy March
Pipeline,The Chantays
Surf City,Jan & Dean
It's My Party,Lesley Gore
Blame It on the Bossa Nova,Eydie Gormé
You Can't Sit Down,The Dovells
Heat Wave,Martha and the Vandellas
Denise,Randy & the Rainbows
Walk Right In,The Rooftop Singers
If You Wanna Be Happy,Jimmy Soul
If I Had a Hammer,Trini Lopez
Easier Said Than Done,The Essex
Ruby Baby,Dion
Our Day Will Come,Ruby & the Romantics
Hello Stranger,Barbara Lewis
Be My Baby,The Ronettes
South Street,The Orlons
Days of Wine and Roses,Henry Mancini
The Monkey Time,Major Lance
Candy Girl,The Four Seasons
Sugar Shack,Jimmy Gilmer and the Fireballs
Still,Bill Anderson
Blue on Blue,Bobby Vinton
Cry Baby,Garnet Mimms
Two Faces Have I,Lou Christie
Busted,Ray Charles
Da Doo Ron Ron,The Crystals
Foolish Little Girl,The Shirelles
Memphis,Lonnie Mack
In Dreams,Roy Orbison
More,Kai Winding
I Can't Stay Mad at You,Skeeter Davis
Losing You,Brenda Lee
Mean Woman Blues,Roy Orbison
Our Winter Love,Bill Pursell
I Wanna Be Around,Tony Bennett
You've Really Got a Hold on Me,The Miracles
Sally Go 'Round the Roses,The Jaynetts
(You're the) Devil in Disguise,Elvis Presley
Those Lazy-Hazy-Crazy Days of Summer,Nat King Cole
Baby Workout,Jackie Wilson
Pride and Joy,Marvin Gaye
Deep Purple,Nino Tempo & April Stevens
From a Jack to a King,Ned Miller
Up on the Roof,The Drifters
What Will Mary Say,Johnny Mathis
Mama Didn't Lie,Jan Bradley
The Night Has a Thousand Eyes,Bobby Vee
Don't Say Nothin' Bad (About My Baby),The Cookies
Ring of Fire,Johnny Cash
Just One Look,Doris Troy
"Hello Muddah, Hello Fadduh (A Letter from Camp)",Allan Sherman
Judy's Turn to Cry,Lesley Gore
"Tie Me Kangaroo Down, Sport",Rolf Harris
Fools Rush In,Rick Nelson
Washington Square,The Village Stompers
Donna the Prima Donna,Dion
"That Sunday, That Summer",Nat King Cole
Another Saturday Night,Sam Cooke
"Painted, Tainted Rose",Al Martino
Go Away Little Girl,Steve Lawrence
Take These Chains from My Heart,Ray Charles
Talk to Me,Sunny & the Sunglows
Come and Get These Memories,Martha and the Vandellas
Do the Bird,Dee Dee Sharp
It's All Right,The Impressions
Shut Down,The Beach Boys
One Fine Day,The Chiffons
Little Town Flirt,Del Shannon
Fly Me to the Moon,Joe Harnell
The Reverend Mr. Black,The Kingston Trio
Hot Pastrami,The Dartells
Martian Hop,The Ran-Dells
Wonderful! Wonderful!,The Tymes
Abilene,George Hamilton IV
Part Time Love,Little Johnny Taylor
Maria Elena,Los Indios Tabajaras
Detroit City,Bobby Bare
Twenty Miles,Chubby Checker
"Green, Green",The New Christy Minstrels
Hey Girl,Freddie Scott
California Dreamin',The Mamas & the Papas
96 Tears,? and the Mysterians
What Becomes of the Brokenhearted,Jimmy Ruffin
Last Train to Clarksville,The Monkees
Reach Out I'll Be There,Four Tops
These Boots Are Made for Walkin',Nancy Sinatra
Cherish,The Association
Strangers in the Night,Frank Sinatra
Kicks,Paul Revere & the Raiders
The Ballad of the Green Berets,SSgt Barry Sadler
Good Lovin',The Young Rascals
(You're My) Soul and Inspiration,The Righteous Brothers
You Can't Hurry Love,The Supremes
Sunny,Bobby Hebb
See You In September,The Happenings
Li'l Red Riding Hood,Sam the Sham and the Pharaohs
Lightnin' Strikes,Lou Christie
Poor Side of Town,Johnny Rivers
Working In The Coal Mine,Lee Dorsey
A Groovy Kind of Love,The Mindbenders
You Don't Have To Say You Love Me,Dusty Springfield
Sunshine Superman,Donovan
Born a Woman,Sandy Posey
"Monday, Monday",The Mamas & the Papas
Red Rubber Ball,The Cyrkle
Born Free,Roger Williams
Walk Away Renée,The Left Banke
Cool Jerk,The Capitols
B-A-B-Y,Carla Thomas
Hanky Panky,Tommy James and the Shondells
When a Man Loves a Woman,Percy Sledge
Time Won't Let Me,The Outsiders
Bus Stop,The Hollies
Paint It Black,The Rolling Stones
Summer in the City,The Lovin' Spoonful
I'm So Lonesome I Could Cry,B. J. Thomas & the Triumphs
My Love,Petula Clark
Daydream,The Lovin' Spoonful
Ain't Too Proud to Beg,The Temptations
Wild Thing,The Troggs
Elusive Butterfly,Bob Lind
I Am a Rock,Simon & Garfunkel
Dirty Water,The Standells
Hooray for Hazel,Tommy Roe
Crying Time,Ray Charles
Sweet Pea,Tommy Roe
Secret Agent Man,Johnny Rivers
Did You Ever Have to Make Up Your Mind?,The Lovin' Spoonful
We Can Work It Out,The Beatles
Homeward Bound,Simon & Garfunkel
Uptight (Everything's Alright),Stevie Wonder
Bang Bang (My Baby Shot Me Down),Cher
Sloop John B,The Beach Boys
19th Nervous Breakdown,The Rolling Stones
Psychotic Reaction,Count Five
Paperback Writer,The Beatles
Beauty Is Only Skin Deep,The Temptations
No Matter What Shape (Your Stomach's In),The T-Bones
Barefootin,Robert Parker
Just Like Me,Paul Revere & the Raiders
Love Makes the World Go Round,Deon Jackson
The Pied Piper,Crispian St. Peters
Somewhere My Love,Ray Conniff Singers
Almost Persuaded,David Houston
If I Were a Carpenter,Bobby Darin
Don't Mess with Bill,The Marvelettes
"Cherry, Cherry",Neil Diamond
Message to Michael,Dionne Warwick
Love Is a Hurtin' Thing,Lou Rawls
Gloria,The Shadows of Knight
My World Is Empty Without You,The Supremes
Barbara Ann,The Beach Boys
Rainy Day Women #12 & 35,Bob Dylan
Guantanamera,The Sandpipers
I'm Your Puppet,James & Bobby Purify
Land of 1000 Dances,Wilson Pickett
Oh How Happy,The Shades of Blue
Woman,Peter and Gordon
You Baby,The Turtles
Sweet Talkin' Guy,The Chiffons
Five O'Clock World,The Vogues
Black Is Black,Los Bravos
Nowhere Man,The Beatles
Dandy,Herman's Hermits
Baby Scratch My Back,Slim Harpo
She's Just My Style,Gary Lewis & The Playboys
The More I See You,Chris Montez
I Fought the Law,Bobby Fuller Four
Yellow Submarine,The Beatles
Hungry,Paul Revere & the Raiders
Zorba the Greek,Herb Alpert and the Tijuana Brass
Shapes of Things,The Yardbirds
Along Comes Mary,The Association
"634-5789 (Soulsville, U.S.A.)",Wilson Pickett
"('Devil with a Blue Dress On', 'Mitch Ryder & the Detroit Wheels')","('Good Golly Miss Molly', 'Mitch Ryder & the Detroit Wheels')"
Wouldn't It Be Nice,The Beach Boys
This Old Heart of Mine,The Isley Brothers
Green Grass,Gary Lewis & The Playboys
A Well Respected Man,The Kinks
"Sugar, Sugar",The Archies
Aquarius/Let the Sunshine In,The 5th Dimension
I Can't Get Next to You,The Temptations
Honky Tonk Women,The Rolling Stones
Everyday People,Sly and the Family Stone
Dizzy,Tommy Roe
Hot Fun in the Summertime,Sly and the Family Stone
I'll Never Fall in Love Again,Tom Jones
Build Me Up Buttercup,The Foundations
Crimson and Clover,Tommy James and the Shondells
One,Three Dog Night
Crystal Blue Persuasion,Tommy James and the Shondells
Hair,The Cowsills
Too Busy Thinking About My Baby,Marvin Gaye
Love Theme from Romeo and Juliet,Henry Mancini
Get Together,The Youngbloods
Grazing in the Grass,The Friends of Distinction
Suspicious Minds,Elvis Presley
Proud Mary,Creedence Clearwater Revival
What Does It Take (To Win Your Love),Jr. Walker & The All Stars
It's Your Thing,The Isley Brothers
Sweet Caroline,Neil Diamond
Jean,Oliver
Bad Moon Rising,Creedence Clearwater Revival
Get Back,The Beatles
In the Year 2525,Zager & Evans
Spinning Wheel,"Blood, Sweat & Tears"
"Baby, I Love You",Andy Kim
Going in Circles,The Friends of Distinction
Hurt So Bad,The Lettermen
Green River,Creedence Clearwater Revival
My Cherie Amour,Stevie Wonder
Easy to Be Hard,Three Dog Night
Baby It's You,Smith
In the Ghetto,Elvis Presley
A Boy Named Sue,Johnny Cash
"Baby, Baby Don't Cry",The Miracles
Only the Strong Survive,Jerry Butler
Time of the Season,The Zombies
Wedding Bell Blues,The 5th Dimension
Little Woman,Bobby Sherman
Love (Can Make You Happy),Mercy
Good Morning Starshine,Oliver
These Eyes,The Guess Who
You've Made Me So Very Happy,"Blood, Sweat & Tears"
Put a Little Love in Your Heart,Jackie DeShannon
Do Your Thing,Charles Wright & the Watts 103rd Street Rhythm Band
I'd Wait a Million Years,The Grass Roots
Touch Me,The Doors
More Today Than Yesterday,Spiral Starecase
I've Gotta Be Me,Sammy Davis Jr.
Lay Lady Lay,Bob Dylan
Atlantis,Donovan
Traces,Classics IV
It's Getting Better,"""Mama"" Cass Elliot"
This Magic Moment,Jay and the Americans
"Runaway Child, Running Wild",The Temptations
Hawaii Five-O,The Ventures
Galveston,Glen Campbell
I'm Gonna Make You Mine,Lou Christie
Gitarzan,Ray Stevens
Can I Change My Mind,Tyrone Davis
Time Is Tight,Booker T. & the M.G.'s
This Girl's in Love With You,Dionne Warwick
Color Him Father,The Winstons
Black Pearl,"Checkmates, Ltd."
Indian Giver,1910 Fruitgum Company
Mother Popcorn,James Brown
Twenty-Five Miles,Edwin Starr
Things I'd Like to Say,New Colony Six
When I Die,Motherlode
That's the Way Love Is,Marvin Gaye
Everybody's Talkin',Harry Nilsson
Worst That Could Happen,The Brooklyn Bridge
The Chokin' Kind,Joe Simon
Smile a Little Smile for Me,The Flying Machine
Polk Salad Annie,Tony Joe White
"Ruby, Don't Take Your Love to Town",Kenny Rogers and The First Edition
Games People Play,Joe South
You Showed Me,The Turtles
Tracy,The Cuff Links
"Oh, What a Night",The Dells
Something,The Beatles
This Girl Is a Woman Now,Gary Puckett & The Union Gap
Come Together,The Beatles
Ramblin' Gamblin' Man,Bob Seger System
I'm Gonna Make You Love Me,The Supremes
I Heard It Through the Grapevine,Marvin Gaye
Gimme Gimme Good Lovin',Crazy Elephant
Hang 'Em High,Booker T. & the M.G.'s
Your Good Thing (Is About to End),Lou Rawls
"Baby, I'm for Real",The Originals
Oh Happy Day,Edwin Hawkins Singers
Love Me Tonight,Tom Jones
"Mr. Sun, Mr. Moon",Paul Revere & the Raiders
Laughing,The Guess Who
My Whole World Ended (The Moment You Left Me),David Ruffin
Soul Deep,The Box Tops
Hooked on a Feeling,B.J. Thomas
Sweet Cream Ladies,The Box Tops
Let Me,Paul Revere & the Raiders
The First Time Ever I Saw Your Face,Roberta Flack
Alone Again (Naturally),Gilbert O'Sullivan
American Pie,Don McLean
Without You,Harry Nilsson
The Candy Man,Sammy Davis Jr.
I Gotcha,Joe Tex
Lean on Me,Bill Withers
"Baby, Don't Get Hooked on Me",Mac Davis
Brand New Key,Melanie
Daddy Don't You Walk So Fast,Wayne Newton
Let's Stay Together,Al Green
Brandy (You're a Fine Girl),Looking Glass
Oh Girl,The Chi-Lites
Nice to Be with You,Gallery
My Ding-a-Ling,Chuck Berry
(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram
Heart of Gold,Neil Young
"Betcha by Golly, Wow",The Stylistics
I'll Take You There,The Staple Singers
Ben,Michael Jackson
The Lion Sleeps Tonight,Robert John
Outa-Space,Billy Preston
Slippin' into Darkness,War
Long Cool Woman in a Black Dress,The Hollies
How Do You Do,Mouth & MacNeal
Song Sung Blue,Neil Diamond
A Horse with No Name,America
Popcorn,Hot Butter
Everybody Plays the Fool,The Main Ingredient
Precious and Few,Climax
(Last Night) I Didn't Get to Sleep at All,The 5th Dimension
Nights in White Satin,The Moody Blues
Go All the Way,Raspberries
Too Late to Turn Back Now,Cornelius Brothers & Sister Rose
Back Stabbers,The O'Jays
Down by the Lazy River,The Osmonds
Sunshine,Jonathan Edwards
Starting All Over Again,Mel and Tim
Day After Day,Badfinger
Rocket Man,Elton John
Rockin' Robin,Michael Jackson
Beautiful Sunday,Daniel Boone
Scorpio,Dennis Coffey
Morning Has Broken,Cat Stevens
City of New Orleans,Arlo Guthrie
Garden Party,Ricky Nelson
I Can See Clearly Now,Johnny Nash
Burning Love,Elvis Presley
Clean Up Woman,Betty Wright
Hold Your Head Up,Argent
Jungle Fever,The Chakachas
Everything I Own,Bread
In the Rain,The Dramatics
Look What You Done for Me,Al Green
The Happiest Girl in the Whole U.S.A.,Donna Fargo
Bang a Gong (Get it On),T. Rex
Mother and Child Reunion,Paul Simon
Where Is the Love,Roberta Flack
I'm Still in Love with You,Al Green
Layla,Derek and the Dominos
Day Dreaming,Aretha Franklin
The Way of Love,Cher
Black and White,Three Dog Night
Sylvia's Mother,Dr. Hook & the Medicine Show
Hurting Each Other,The Carpenters
Coconut,Harry Nilsson
Puppy Love,Donny Osmond
You Don't Mess Around with Jim,Jim Croce
Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen
A Cowboy's Work Is Never Done,Sonny & Cher
Joy,Apollo 100
Anticipation,Carly Simon
Never Been to Spain,Three Dog Night
Kiss an Angel Good Mornin',Charley Pride
School's Out,Alice Cooper
Saturday in the Park,Chicago
Drowning in the Sea of Love,Joe Simon
Use Me,Bill Withers
Family Affair,Sly & the Family Stone
Troglodyte (Cave Man),The Jimmy Castor Bunch
The Witch Queen of New Orleans,Redbone
Freddie's Dead,Curtis Mayfield
Power of Love,Joe Simon
Ain't Understanding Mellow,Jerry Butler
Taxi,Harry Chapin
Don't Say You Don't Remember,Beverly Bremers
Sealed with a Kiss,Bobby Vinton
I Saw the Light,Todd Rundgren
Motorcycle Mama,Sailcat
Day by Day,Original Cast of Godspell
Roundabout,Yes
Doctor My Eyes,Jackson Browne
I'd Like to Teach the World to Sing (In Perfect Harmony),The New Seekers
Vincent,Don McLean
Baby Let Me Take You (In My Arms),The Detroit Emeralds
Speak to the Sky,Rick Springfield
I'd Like to Teach the World to Sing (In Perfect Harmony),The Hillside Singers
Walkin' in the Rain with the One I Love,Love Unlimited
Get on the Good Foot,James Brown
Pop That Thang,The Isley Brothers
Love Will Keep Us Together,Captain & Tennille
Rhinestone Cowboy,Glen Campbell
Philadelphia Freedom,Elton John
Before the Next Teardrop Falls,Freddy Fender
My Eyes Adored You,Frankie Valli
Some Kind of Wonderful,Grand Funk Railroad
Shining Star,"Earth, Wind & Fire"
Fame,David Bowie
Laughter in the Rain,Neil Sedaka
One of These Nights,Eagles
Thank God I'm a Country Boy,John Denver
Jive Talkin',Bee Gees
Best of My Love,Eagles
Lovin' You,Minnie Riperton
Kung Fu Fighting,Carl Douglas
Black Water,The Doobie Brothers
The Ballroom Blitz,Sweet
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas
He Don't Love You (Like I Love You),Tony Orlando and Dawn
At Seventeen,Janis Ian
Pick Up the Pieces,Average White Band
The Hustle,Van McCoy & the Soul City Symphony
